Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
N4B,N4B,56.775,140.293,1991/4/5,WU,1991,N04B,
R1B,4H,3.377,8.345,1991/4/5,WU,1991,004H,
R1B,20D,36.42,89.996,1991/4/5,WU,1991,020D,
R20B,1C,12.315,30.431,1991/4/5,WP ,1991,001C,
20C,3B3UD,5.7,14.09,1991/4/5,WP ,1991,033D,
20C,UC,30.37,75.04,1991/4/5,WU,1991,020C,
1D,1D,41.55,102.67,1991/4/5,WP ,1991,001D,
2D,2D,48.41,119.62,1991/4/5,WU,1991,002D,
2C,2C,22.95,56.72,1991/4/5,WP ,1991,002C,
4F,4F,16.37,40.44,1991/4/5,WU,1991,004F,
C1SB,Texas Hog Pasture,69.81,172.51,1991/4/5,WU,1991,TXHO,
C1A,C4B,93.78,231.73,1991/4/5,WU,1991,C02B,
FA,4E,11.089,27.402,1991/4/5,WP ,1991,004E,
FB,WC,11.181,27.628,1991/4/5,WU,1991,099C,
C3C,C1B,101.552,250.94,1991/4/5,WP ,1991,C01A,
C3B,C4A2,54.14,133.783,1991/4/5,WP ,1991,C02A,
C3B,C4A1,14.212,35.119,1991/4/5,WU,1991,C20A,
C3SB,S3B,226.265,559.112,1991/4/5,WU,1991,S03B,
C3SC,S3C,127.023,313.88,1991/4/5,WU,1991,S03C,
C3A,C4A2,25.072,61.954,1991/4/5,WP ,1991,C20A,
C3A,C4A1,23.656,58.455,1991/4/5,WU,1991,C20A,
C3SA,S3A,102.075,252.232,1991/4/5,WP ,1991,S03A,
K1A,K1A,113.89,281.428,1991/4/19,PP,1991,K01A,
N2A,N2A,101.215,250.107,1991/4/23,PP,1991,N02A,
R20A,1A,26.332,65.068,1991/4/24,PP,1991,001A,
SpA,10A,24.537,60.631,1991/4/24,PP,1991,010A,
R1A,3B3UA,29.124,71.966,1991/4/24,PP,1991,033A,
2A,2A,27.96,69.1,1991/4/24,PP,1991,002A,
1B,1B/WA,35.89,88.69,1991/4/24,PP,1991,001B,
4B,4B,54.5,134.67,1991/4/24,PP,1991,004B,
Belowground Plots,Belowground Plots,1.45,3.58,1991/5/1,PP,1991,LTERBG,
N20B,N20B,22.91,56.612,1991/10/20,WU,1991,N20B,
WA,3U3BB,4.56,11.27,1991/10/20,WU,1991,033B,
K1B,K4B,28.57,70.598,1991/10/20,WU,1991,K04B,
20B,20B/UC/4B,2,5,1991/10/20,WU,1991,020B,
N1B,N1B,61.45,151.846,1991/10/20,WU,1991,N01B,
R20B,1C,1,2.46,1991/10/20,WU,1991,001C,
4F,4F,9.71,23.99,1991/10/20,WU,1991,004F,
FB,WC,1,2.46,1991/10/20,WU,1991,099C,
C3A,C4A1,23.656,58.455,1992/4/9,PP,1992,C20A,
C3A,C4A2,25.072,61.954,1992/4/9,PP,1992,C20A,
C3B,C4A1,14.212,35.119,1992/4/9,PP,1992,C20A,
C3B,C4A2,54.14,133.783,1992/4/9,PP,1992,C02A,
C3C,C1B,101.552,250.94,1992/4/9,PP,1992,C01A,
C1A,C4B,93.78,231.73,1992/4/9,PP,1992,C02B,
K2A,K2A,66.1,163.336,1992/4/9,PP,1992,K02A,
N4A,N4A,99.196,245.118,1992/4/11,PP,1992,N04A,
4A,4A,18.84,46.56,1992/4/13,PP,1992,004A,
R1A,3B3UA,29.124,71.966,1992/4/13,PP,1992,033A,
R20A,1A,26.332,65.068,1992/4/13,PP,1992,001A,
N20A,N20A,82.978,205.043,1992/4/14,PP,1992,N20A,
N2B,N2B,118.781,293.514,1992/4/14,PP,1992,N02B,
N1A,N1A,93.855,231.92,1992/4/14,PP,1992,N01A,
N1B,N1B,120.683,298.214,1992/4/17,PP,1992,N01B,
K1B,K1B,105.138,259.801,1992/4/17,PP,1992,K01B,
K1B,K4B,76.118,188.092,1992/4/17,PP,1992,K04B,
HQA,HQA,12.278,30.34,1992/4/22,PP,1992,0HQA,
HQC,HQC,17.483,43.201,1992/4/22,PP,1992,0HQC,
HQB,HQB,14.922,36.873,1992/4/22,PP,1992,0HQB,
HQD,HQC,28.25,69.807,1992/4/22,PP,1992,0HQC,
K1A,K1A,113.89,281.428,1992/4/22,PP,1992,K01A,
2D,2D,48.41,119.62,1992/4/23,PP,1992,002D,
1D,1D,41.55,102.67,1992/4/23,PP,1992,001D,
20C,3B3UD,5.7,14.09,1992/4/23,PP,1992,033D,
WB,4G,12.33,30.46,1992/4/23,PP,1992,004G,
Belowground Plots,Belowground Plots,1.45,3.58,1992/4/28,PP,1992,LTERBG,
1B,1B/WA,35.89,88.69,1992/4/28,PP,1992,001B,
2B,2B,6.08,15.02,1992/4/28,PP,1992,002B,
R20B,1C,12.315,30.431,1992/4/28,PP,1992,001C,
4F,4F,7,17.3,1992/9/20,WU,1992,004F,
R20B,1C,0.5,1,1992/9/20,WP,1992,R20B,
N1B,N1B,46,113,1992/9/20,WP,1992,N01B,
K1B,K4B,24,58,1992/9/20,WU,1992,K04B,
WA,3U3BB,3,7.4,1992/9/20,WU,1992,00WA,
N20B,N20B,26,65,1992/9/20,WU,1992,N20B,
K4A,K4A,53.161,131.363,1993/4/10,PP,1993,K04A,
N1B,N1B,120.683,298.214,1993/4/10,PP,1993,N01B,
N1A,N1A,93.855,231.92,1993/4/21,PP,1993,N01A,
N4B,N4B,56.775,140.293,1993/4/21,PP,1993,N04B,
R20A,1A,26.332,65.068,1993/4/24,PP,1993,R20A,
2A,2A,27.96,69.1,1993/4/24,PP,1993,002A,
1D,1D,41.55,102.67,1993/4/24,PP,1993,001D,
1B,1B/WA,35.89,88.69,1993/4/24,PP,1993,001B,
2C,2C,22.95,56.72,1993/4/26,PP,1993,002C,
4F,4F,16.37,40.44,1993/4/26,PP,1993,004F,
N2A,N2A,101.215,250.107,1993/4/29,PP,1993,N02A,
Belowground Plots,Belowground Plots,1.45,3.58,1993/4/29,PP,1993,LTERBG,
HQC,HQC,17.483,43.201,1993/4/29,PP,1993,0HQC,
WA,3U3BB,11.62,28.72,1993/4/30,PP,1993,00WA,
R20B,1C,12.315,30.431,1993/4/30,PP,1993,R20B,
C1A,C4B,13.11,32.41,1993/4/30,WU,1993,C02B,
C3C,C1B,103.106,254.78,1993/4/30,PP,1993,C01A,
C3B,C4A,53.239,131.556,1993/4/30,PP,1993,C02A,
C3A,C4A,24.222,59.855,1993/4/30,PP,1993,C02A,
SpA,4C,8.818,21.791,1993/5/4,PP,1993,004C,
HQD,HQC,28.25,69.807,1993/5/4,PP,1993,0HQC,
K1B,K1B,105.138,259.801,1993/5/13,PP,1993,K01B,
K2A,K2A,3.244,8.016,1993/5/13,WU,1993,K02A,
C3SC,S3C,74.882,185.037,1993/5/13,WU,1993,S00C,
FA,FA,11.089,27.401,1993/11/29,PP,1993,00FA,
FB,FB,11.181,27.629,1993/11/29,PP,1993,00FB,
WA,WA,11.62,28.72,1994/2/15,PP,1994,00WA,
WB,WB,12.33,30.46,1994/2/15,PP,1994,00WB,
K2A,K2A,66.1,163.336,1994/3/30,PP,1994,K02A,
K1B,K1B,105.138,259.801,1994/3/30,PP,1994,K01B,
4B,4B,54.5,134.67,1994/3/31,WU,1994,004B,
HQD,HQC,28.25,69.807,1994/3/31,WU,1994,0HQC,
4A,4A,18.84,46.56,1994/3/31,WU,1994,004A,
1B,1B/WA,35.89,88.69,1994/3/31,WP ,1994,001B,
2A,2A,27.96,69.1,1994/3/31,WU,1994,002A,
R1A,20A/3B3UA,48.66,120.241,1994/3/31,WU,1994,R01A,
N4A,N4A,99.196,245.118,1994/3/31,WU,1994,N04A,
N4D,N4D,135.45,334.704,1994/3/31,WU,1994,N04D,
N4C,N4C,77.842,192.351,1994/3/31,WP ,1994,N04C,
R20A,1A,26.332,65.068,1994/3/31,WP ,1994,R20A,
N2B,N2B,118.781,293.514,1994/4/13,WP ,1994,N02B,
N2A,N2A,101.215,250.107,1994/4/13,WU,1994,N02A,
Nature Trail,Nature Trail,101.87,251.726,1994/4/16,PP,1994,NATR,
White Pasture,White Pasture,166.82,412.22,1994/4/17,WP ,1994,WHIT,
HQA,HQA,12.28,30.344,1994/4/20,PP,1994,0HQA,
HQC,HQC,17.483,43.201,1994/4/20,PP,1994,0HQC,
HQB,HQB,14.919,36.866,1994/4/20,PP,1994,0HQB,
HQD,HQC,28.25,69.807,1994/4/20,PP,1994,0HQC,
N1B,N1B,120.683,298.214,1994/4/21,PP,1994,N01B,
C3SC,S3C,127.02,313.873,1994/4/22,PU ,1994,S00C,
C3SB,S3B,226.265,559.112,1994/4/22,PP,1994,S00B,
C3SA,S3A,102.076,252.235,1994/4/22,PP,1994,S00A,
C3B,C1B,63.69,157.381,1994/4/22,PP,1994,C01B,
C3C,C1B,21.55,53.251,1994/4/22,PP,1994,C01B,
C3C,C1C,81.291,200.874,1994/4/22,PP,1994,C01C,
AL,AL,14.07,34.77,1994/4/22,PU ,1994,0ALC,
C1A,Pasture 8,5.1,12.6,1994/4/22,PP,1994,PAST,
C1SB,Texas Hog Pasture,69.81,172.51,1994/4/22,PP,1994,TXHP,
K1A,K1A,113.89,281.428,1994/4/24,PP,1994,K01A,
Belowground Plots,Belowground Plots,1.45,3.58,1994/5/3,PP,1994,LTERBG,UB plots 17-24 burned accidently on 05/10/1994
N1A,N1A,93.855,231.92,1994/5/3,PP,1994,N01A,
2D,2D,48.41,119.62,1994/5/4,PP,1994,002D,
1D,1D,41.55,102.67,1994/5/4,PP,1994,001D,
R20B,1C,12.315,30.431,1994/5/4,PP,1994,R20B,
R1B,4H,3.377,8.345,1994/5/4,PP,1994,004H,
2B,2B,6.08,15.02,1994/5/5,PP,1994,002B,
SpA,4C,8.818,21.79,1994/5/5,PP,1994,0SpA,
SpB,4D/WB,35.74,88.31,1994/5/5,PP,1994,0SpB,
SuA,10C/3U3BC,22.86,56.49,1994/9/2,PP,1994,0SuA,
SuB,SuB,15.63,38.62,1994/9/7,PP,1994,0SuB,
FB,FB,11.181,27.629,1994/11/23,PP,1994,00FB,
FA,FA,11.089,27.401,1994/11/23,PP,1994,00FA,
WB,WB,12.33,30.46,1995/2/21,PP,1995,00WB,
WA,WA,11.62,28.72,1995/2/21,PP,1995,00WA,
HQC,HQC,17.483,43.201,1995/4/3,PP,1995,0HQC,
R20A,1A,26.332,65.068,1995/4/6,PP,1995,R20A,
R20B,1C,12.315,30.431,1995/4/6,PP,1995,R20B,
1B,1B/WA,35.89,88.69,1995/4/6,PP,1995,001B,
2C,2C,22.95,56.72,1995/4/8,PP,1995,002C,
SpB,4D/WB,35.74,88.31,1995/4/13,PP,1995,0SpB,
N1B,N1B,120.683,298.214,1995/4/13,PP,1995,N01B,
1D,1D,41.55,102.67,1995/4/19,PP,1995,001D,
C1A,Pasture 8,5.1,12.6,1995/4/19,PP,1995,PAST,
C3C,C1B,21.55,53.251,1995/4/19,PP,1995,C01B,
C3C,C1C,81.291,200.874,1995/4/19,PP,1995,C01C,
C3B,C1B,63.69,157.381,1995/4/19,PP,1995,C01B,
K1B,K1B,105.138,259.801,1995/4/21,PP,1995,K01B,
N1A,N1A,93.855,231.92,1995/4/24,PP,1995,N01A,
K1A,K1A,113.89,281.428,1995/4/24,PP,1995,K01A,
HQB,HQB,14.919,36.866,1995/4/24,PP,1995,0HQB,
HQA,HQA,12.28,30.344,1995/4/24,PP,1995,0HQA,
SpA,4C,8.818,21.79,1995/4/25,PP,1995,0SpA,
Nature Trail,Nature Trail,101.87,251.726,1995/4/27,PP,1995,NATR,
Belowground Plots,Belowground Plots,1.45,3.58,1995/4/27,PP,1995,LTERBG,UB plots 1-2 burned accidently on 04/03/1995
C1SB,Texas Hog Pasture,69.81,172.51,1995/4/28,PP,1995,TXHP,
FA,FA,11.089,27.401,1995/11/21,PP,1995,00FA,
FB,FB,11.181,27.629,1995/11/21,PP,1995,00FB,
WA,WA,11.62,28.72,1996/2/9,PP,1996,00WA,
WB,WB,12.33,30.46,1996/2/9,PP,1996,00WB,
C3B,C1B,63.69,157.381,1996/2/25,WP ,1996,C01B,
C3B,C4A,2.902,7.17,1996/2/25,WP ,1996,C04A,
C3C,C1B,21.815,53.906,1996/2/25,WP ,1996,C01B,
C3C,C1C,81,200.155,1996/2/25,WP ,1996,C01C,
C3SA,S3A,102.076,252.235,1996/2/25,WP ,1996,S00A,
C3A,C4A,48.728,120.41,1996/2/25,WP ,1996,C04A,
C3SB,S3B,226.265,559.112,1996/2/25,WP ,1996,S00B,
C3SC,S3C,127.02,313.873,1996/2/25,WP ,1996,S00C,
AL,AL,22,54.36,1996/2/25,WU,1996,0ALC,
C1A,C4D,89,219,1996/2/25,WP,1996,C04D,
2D,2D,48.41,119.62,1996/2/25,WP ,1996,002D,
4F,4F,15.37,37.98,1996/2/25,WU,1996,004F,
1D,1D,41.55,102.67,1996/2/25,WP,1996,001D,
R20B,1C,12.315,30.431,1996/2/25,WP ,1996,R20B,
N1B,N1B,120.683,298.214,1996/2/25,PP,1996,N01B,
K1B,K1B,105.138,259.801,1996/2/25,WP ,1996,K01B,
K1B,K4B,37,91.429,1996/2/25,WP ,1996,K04B,
K2A,K2A,66.1,163.336,1996/2/25,WP ,1996,K02A,
SuA,10C/3U3BC,5,12.36,1996/2/25,WP ,1996,0SuA,
SuB,SuB,7,17.3,1996/2/25,WP ,1996,0SuB,
White Pasture,White Pasture,166.82,412.22,1996/2/25,WP ,1996,WHIT,
N20B,N20B,17,42.008,1996/2/25,WU,1996,N20B,
K1B,K4B,39.12,96.66,1996/3/26,PU ,1996,K04B,
N20B,N20B,84.364,208.467,1996/3/26,PU ,1996,N20B,
K1A,K1A,113.89,281.428,1996/4/5,PP,1996,K01A,
C1A,Pasture 8,5.1,12.6,1996/4/9,PP,1996,PAST,
SpA,4C,8.818,21.79,1996/4/9,PP,1996,0SpA,
R20A,1A,26.332,65.068,1996/4/16,PP,1996,R20A,
HQD,HQC,28.25,69.807,1996/4/20,PP,1996,0HQC,
N2A,N2A,101.215,250.107,1996/4/20,PP,1996,N02A,
4F,4F,1,2.47,1996/4/23,PU,1996,004F,
1B,1B/WA,35.89,88.69,1996/4/23,PP,1996,001B,
SuA,10C/3U3BC,22.86,56.49,1996/4/23,PU ,1996,0SuA,
SuB,SuB,15.63,38.62,1996/4/23,PU ,1996,0SuB,
2A,2A,27.96,69.1,1996/4/26,PP,1996,002A,
N2B,N2B,118.781,293.514,1996/4/30,PP,1996,N02B,
N1A,N1A,60.03,148.322,1996/4/30,PP,1996,N01ASW,
N1A,N1A,33.83,83.596,1996/5/2,PP,1996,N01ANE,
Belowground Plots,Belowground Plots,1.45,3.58,1996/5/11,PP,1996,LTERBG,
2B,10B,8.21,20.29,1996/5/13,PP,1996,010B,
2B,2B,6.08,15.02,1996/5/13,PP,1996,002B,
SpB,4D/WB,35.74,88.31,1996/5/13,PP,1996,0SpB,
FB,FB,11.181,27.629,1996/11/7,PP,1996,00FB,
FA,FA,11.089,27.401,1996/11/7,PP,1996,00FA,
HQB,HQB,14.919,36.866,1997/1/30,PP,1997,0HQB,
HQA,HQA,12.28,30.344,1997/1/30,PP,1997,0HQA,
WB,WB,12.33,30.46,1997/2/25,PP,1997,00WB,
WA,WA,11.62,28.72,1997/2/25,PP,1997,00WA,
SpA,10A,5,12.355,1997/3/24,WU,1997,010A,
R20B,1C,12.315,30.431,1997/3/31,PP,1997,R20B,
2C,2C,22.95,56.72,1997/3/31,PP,1997,002C,
Nature Trail,Nature Trail,101.87,251.726,1997/4/3,PP,1997,NATR,
C1A,Pasture 8,5.1,12.6,1997/4/3,PP,1997,PAST,
K1A,K1A,113.89,281.428,1997/4/3,PP,1997,K01A,
C3C,C1B,21.55,53.251,1997/4/3,PP,1997,C01B,
C3C,C1C,81.291,200.874,1997/4/3,PP,1997,C01C,
C3B,C1B,63.69,157.381,1997/4/3,PP,1997,C01B,
K4A,K4A,53.161,131.363,1997/4/7,PP,1997,K04A,
N1A,N1A,93.855,231.92,1997/4/7,PP,1997,N01A,
N1B,N1B,120.683,298.214,1997/4/7,PP,1997,N01B,
C3SC,S3C,127.02,313.873,1997/4/9,PP,1997,S00C,
C3SB,S3B,226.265,559.112,1997/4/9,PP,1997,S00B,
SpB,4D/WB,35.74,88.31,1997/4/15,PP,1997,0SpB,
SpA,10A,19.54,48.27,1997/4/15,PU,1997,010A,
Belowground Plots,Belowground Plots,1.45,3.58,1997/4/16,PP,1997,LTERBG,
SpA,4C,8.818,21.79,1997/4/17,PP,1997,0SpA,
1D,1D,41.55,102.67,1997/4/17,PP,1997,001D,
1B,1B/WA,35.89,88.69,1997/4/17,PP,1997,001B,
C1SB,Texas Hog Pasture,69.81,172.51,1997/4/19,PP,1997,TXHP,
K1B,K1B,105.138,259.801,1997/4/25,PP,1997,K01B,
R20A,1A,26.332,65.068,1997/4/28,PP,1997,R20A,
HQC,HQC,17.483,43.201,1997/4/28,PP,1997,0HQC,
SuB,SuB,15.63,38.62,1997/7/31,PP,1997,0SuB,
SuA,10C/3U3BC,22.86,56.49,1997/7/31,PP,1997,0SuA,
FA,FA,11.089,27.401,1997/11/21,PP,1997,00FA,
FB,FB,11.181,27.629,1997/11/21,PP,1997,00FB,
WA,WA,11.62,28.72,1998/2/20,PP,1998,00WA,
WB,WB,12.33,30.46,1998/2/20,PP,1998,00WB,
N4D,N4D,135.45,334.704,1998/4/2,PP,1998,N04D,
N1B,N1B,120.683,298.214,1998/4/2,PP,1998,N01B,
C3B,C1B,63.69,157.381,1998/4/6,PP,1998,C01B,
C3C,C1B,21.55,53.251,1998/4/6,PP,1998,C01B,
C3C,C1C,81.291,200.874,1998/4/6,PP,1998,C01C,
C1A,Pasture 8,5.1,12.6,1998/4/6,PP,1998,PAST,
HQA,HQA,12.28,30.344,1998/4/10,PP,1998,0HQA,
HQC,HQC,17.483,43.201,1998/4/10,PP,1998,0HQC,
HQD,HQC,28.25,69.807,1998/4/10,PP,1998,0HQC,
N4C,N4C,77.842,192.351,1998/4/10,PP,1998,N04C,
N2A,N2A,101.215,250.107,1998/4/10,PP,1998,N02A,
Belowground Plots,Belowground Plots,1.45,3.58,1998/4/14,PP,1998,LTERBG,
K1A,K1A,113.89,281.428,1998/4/15,PP,1998,K01A,
Nature Trail,Nature Trail,101.87,251.726,1998/4/15,PP,1998,NATR,
C3SB,S3B,226.265,559.112,1998/4/17,PP,1998,S00B,
C3SC,S3C,127.02,313.873,1998/4/17,PP,1998,S00C,
K2A,K2A,66.1,163.336,1998/4/17,PP,1998,K02A,
C1SB,Texas Hog Pasture,69.81,172.51,1998/4/18,PP,1998,TXHP,
2D,2D,48.41,119.62,1998/4/22,PP,1998,002D,
1D,1D,41.55,102.67,1998/4/22,PP,1998,001D,
R1B,4H,3.377,8.345,1998/4/22,PP,1998,004H,
N1A,N1A,93.855,231.92,1998/4/22,PP,1998,N01A,
K1B,K1B,105.138,259.801,1998/4/22,PP,1998,K01B,
2B,2B,6.08,15.02,1998/4/23,PP,1998,002B,
R20B,1C,12.315,30.431,1998/4/23,PP,1998,R20B,
SpB,4D/WB,35.74,88.31,1998/4/23,PP,1998,0SpB,
4B,4B,54.5,134.67,1998/5/4,PP,1998,004B,
1B,1B/WA,35.89,88.69,1998/5/4,PP,1998,001B,
SpA,4C,8.818,21.79,1998/5/4,PP,1998,0SpA,
R20A,1A,26.332,65.068,1998/5/4,PP,1998,R20A,
FB,FB,11.181,27.629,1998/12/1,PP,1998,00FB,
FA,FA,11.089,27.401,1998/12/1,PP,1998,00FA,
WB,WB,12.33,30.46,1999/2/9,PP,1999,00WB,
WA,WA,11.62,28.72,1999/2/9,PP,1999,00WA,
White Pasture,White Pasture,166.82,412.22,1999/3/18,PP,1999,WHIT,
K1B,K1B,105.138,259.801,1999/3/29,PP,1999,K01B,
N1A,N1A,93.855,231.92,1999/4/6,PP,1999,N01A,
N1B,N1B,120.683,298.214,1999/4/6,PP,1999,N01B,
Belowground Plots,Belowground Plots,1.45,3.58,1999/4/7,PP,1999,LTERBG,
R20A,1A,26.332,65.068,1999/4/12,PP,1999,R20A,
N2B,N2B,118.781,293.514,1999/4/12,PP,1999,N02B,
R20B,1C,12.315,30.431,1999/4/12,PP,1999,R20B,
2A,2A,27.96,69.1,1999/4/12,PP,1999,002A,
1B,1B/WA,35.89,88.69,1999/4/12,PP,1999,001B,
2C,2C,22.95,56.72,1999/4/12,PP,1999,002C,
4A,4A,18.84,46.56,1999/4/12,PP,1999,004A,
SpB,4D/WB,35.74,88.31,1999/4/20,PP,1999,0SpB,
SpA,4C,8.818,21.79,1999/4/20,PP,1999,0SpA,
C1A,Pasture 8,5.1,12.6,1999/4/20,PP,1999,PAST,
C3C,C1B,21.55,53.251,1999/4/20,PP,1999,C01B,
C3C,C1C,81.291,200.874,1999/4/20,PP,1999,C01C,
C3B,C1B,63.69,157.381,1999/4/20,PP,1999,C01B,
HQC,HQC,17.483,43.201,1999/5/7,PP,1999,0HQC,
N4B,N4B,56.775,140.293,1999/5/13,PP,1999,N04B,
1D,1D,41.55,102.67,1999/5/13,PP,1999,001D,
SuB,SuB,15.63,38.62,1999/7/26,PP,1999,0SuB,
SuA,10C/3U3BC,22.86,56.49,1999/7/26,PP,1999,0SuA,
FA,FA,11.09,27.404,1999/12/10,PP,1999,00FA,
FB,FB,11.18,27.626,1999/12/10,PP,1999,00FB,
WA,WA,11.62,28.72,2000/2/8,PP,2000,00WA,
WB,WB,12.33,30.46,2000/2/8,PP,2000,00WB,
K1A,K1A,113.89,281.428,2000/3/21,PP,2000,K01A,
Nature Trail,Nature Trail,93.37,230.722,2000/3/21,PP,2000,NATR,
C3B,C1B,63.817,157.695,2000/3/29,PP,2000,C01B,
C3C,C1B,21.55,53.251,2000/3/29,PP,2000,C01B,
C3C,C1C,81.291,200.874,2000/3/29,PP,2000,C01C,
C3A,C4A,48.728,120.41,2000/3/29,PP,2000,C04A,
C1A,C4D,93.78,231.73,2000/3/29,PP,2000,C04D,
C3B,C4A,2.902,7.17,2000/3/30,PP,2000,C04A,
C3SA,SA,102.076,252.235,2000/3/30,PP,2000,S00A,
C3SC,SC,127.02,313.873,2000/3/30,PP,2000,S00C,
C3SB,SB,226.265,559.112,2000/3/30,PP,2000,S00B,
HQD,HQC,28.25,69.807,2000/3/31,PP,2000,0HQC,
HQA,HQA,12.28,30.344,2000/4/4,PP,2000,0HQA,
HQB,HQB,14.92,36.868,2000/4/4,WU,2000,0HQB,
N2A,N2A,101.215,250.107,2000/4/4,PP,2000,N02A,
HQC,HQC,17.483,43.201,2000/4/6,PP,2000,0HQC,
N4A,N4A,99.196,245.118,2000/4/10,PP,2000,N04A,
N1A,N1A,93.855,231.92,2000/4/11,PP,2000,N01A,
4B,4B,14.54,35.93,2000/4/12,WU,2000,004B,
1B,1B/WA,35.89,88.69,2000/4/12,PP,2000,001B,
2A,2A,27.96,69.1,2000/4/12,PP,2000,002A,
2B,2B,6.08,15.02,2000/4/12,PP,2000,002B,
SpA,4C,8.818,21.79,2000/4/12,PP,2000,0SpA,
R20A,1A,26.332,65.068,2000/4/12,PP,2000,R20A,
4B,4B,39.96,98.74,2000/4/17,PU ,2000,004B,
Belowground Plots,Belowground Plots,1.45,3.58,2000/4/20,PP,2000,LTERBG,
N1B,N1B,120.683,298.214,2000/4/21,PP,2000,N01B,
4F,4F,16.37,40.44,2000/4/24,PP,2000,004F,
1D,1D,41.55,102.67,2000/4/26,PP,2000,001D,
R20B,1C,12.315,30.431,2000/4/26,PP,2000,R20B,
SpB,4D/WB,35.74,88.31,2000/4/26,PP,2000,0SpB,
K1B,K1B,105.138,259.801,2000/4/28,PP,2000,K01B,
K1B,K4B,76.118,188.092,2000/4/28,PP,2000,K04B,
K2A,K2A,66.1,163.336,2000/4/28,PP,2000,K02A,
FB,FB,11.181,27.629,2000/11/21,PP,2000,00FB,
FA,FA,11.089,27.401,2000/11/21,PP,2000,00FA,
WB,WB,12.33,30.46,2001/3/6,PP,2001,00WB,
WA,WA,11.62,28.72,2001/3/6,PP,2001,00WA,
C1A,Pasture 8,5.1,12.6,2001/4/2,PP,2001,PAST,
C3C,C1B,21.55,53.251,2001/4/2,PP,2001,C01B,
C3C,C1C,81.291,200.874,2001/4/2,PP,2001,C01C,
C3B,C1B,63.69,157.381,2001/4/2,PP,2001,C01B,
K4A,K4A,53.161,131.363,2001/4/4,PP,2001,K04A,
N1A,N1A,33.83,83.596,2001/4/4,PP,2001,N01ANE,
N4B,N4B,56.775,140.293,2001/4/4,PP,2001,N04B,
1B,1B/WA,35.89,88.69,2001/4/4,PP,2001,001B,
N1A,N1A,60.03,148.322,2001/4/9,PP,2001,N01ASW,
K1A,K1A,113.89,281.428,2001/4/9,PP,2001,K01A,
K1B,K1B,105.138,259.801,2001/4/12,PP,2001,K01B,
1D,1D,41.55,102.67,2001/4/12,PP,2001,001D,
2D,2D,48.41,119.62,2001/4/12,PP,2001,002D,
N1B,N1B,120.683,298.214,2001/4/13,PP,2001,N01B,
N4D,N4D,135.45,334.704,2001/4/13,PP,2001,N04D,
N2B,N2B,118.781,293.514,2001/4/13,PP,2001,N02B,
HQB,HQB,14.92,36.868,2001/4/13,PU ,2001,0HQB,
HQA,HQA,12.28,30.344,2001/4/16,PP,2001,0HQA,
HQC,HQC,17.483,43.201,2001/4/17,PP,2001,0HQC,
SpB,4D/WB,35.74,88.31,2001/4/24,PP,2001,0SpB,
SpA,10A,24.536,60.63,2001/4/24,PP,2001,010A,
SpA,4C,8.818,21.79,2001/4/24,PP,2001,0SpA,
R1B,20D,36.42,89.996,2001/4/24,PP,2001,R01B,
2C,2C,22.95,56.72,2001/4/24,PP,2001,002C,
R1A,20A/3B3UA,48.66,120.241,2001/4/26,PP,2001,R01A,
Belowground Plots,Belowground Plots,1.45,3.58,2001/4/26,PP,2001,LTERBG,
SuB,SuB,15.63,38.62,2001/8/14,PP,2001,0SuB,
SuA,10C/3U3BC,22.86,56.49,2001/8/14,PP,2001,0SuA,
FA,FA,11.089,27.401,2001/11/21,PP,2001,00FA,
FB,FB,11.181,27.629,2001/11/21,PP,2001,00FB,
WA,WA,11.62,28.72,2002/2/13,PP,2002,00WA,
WB,WB,12.33,30.46,2002/2/13,PP,2002,00WB,
K1A,K1A,113.89,281.428,2002/3/26,PP,2002,K01A,
AL,AL,39.454,97.49,2002/3/27,PP,2002,0ALB,
4F,4F,16.37,40.44,2002/3/28,WU,2002,004F,
N1B,N1B,120.683,298.214,2002/3/28,PP,2002,N01B,
N1A,N1A,33.83,83.596,2002/3/28,PP,2002,N01ANE,
C3B,C1B,63.69,157.381,2002/3/30,PP,2002,C01B,
C3C,C1B,21.55,53.251,2002/3/30,PP,2002,C01B,
C3C,C1C,81.291,200.874,2002/3/30,PP,2002,C01C,
C1A,Pasture 8,5.1,12.6,2002/3/30,PP,2002,PAST,
4A,4A,18.84,46.56,2002/4/3,WU,2002,004A,
R1A,20A/3B3UA,48.66,120.241,2002/4/3,PP,2002,R01A,
N4A,N4A,99.196,245.118,2002/4/3,WU,2002,N04A,
N4C,N4C,77.842,192.351,2002/4/3,PP,2002,N04C,
N2A,N2A,101.215,250.107,2002/4/3,PP,2002,N02A,
HQB,HQB,14.919,36.866,2002/4/5,PP,2002,0HQB,
1D,1D,41.55,102.67,2002/4/9,PP,2002,001D,
Belowground Plots,Belowground Plots,1.45,3.58,2002/4/25,PP,2002,LTERBG,
N1A,N1A,60.03,148.322,2002/4/25,PP,2002,N01ASW,
R1B,4H,3.377,8.345,2002/4/29,PP,2002,004H,
R1B,20D,36.42,89.996,2002/4/29,PP,2002,R01B,
SpB,4D/WB,35.74,88.31,2002/4/29,PP,2002,0SpB,
HQC,HQC,17.483,43.201,2002/4/30,PP,2002,0HQC,
HQD,HQC,28.25,69.807,2002/4/30,PP,2002,0HQC,
