Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
R20B,1C,12.315,30.431,1979/4/26,PP,1979,001C,
FA,4E,11.089,27.402,1979/4/26,PP,1979,004E,
4B,4B,54.5,134.67,1979/4/26,PP,1979,004B,
20C,3B3UD,5.7,14.09,1979/4/26,PP,1979,033D,
2A,2A,27.96,69.1,1979/4/26,PP,1979,002A,
1D,1D,41.55,102.67,1979/4/26,PP,1979,001D,
1B,1B,12.01,29.69,1979/4/26,PP,1979,001B,
2C,2C,22.95,56.72,1979/4/26,PP,1979,002C,
N2A,unassigned ,11.376,28.111,1979/4/27,PP,1979,N/A,
HQA,unassigned ,11.634,28.747,1979/4/27,PP,1979,N/A,
HQB,unassigned ,14.83,36.646,1979/4/27,PP,1979,N/A,
HQC,unassigned ,17.48,43.194,1979/4/27,PP,1979,N/A,
HQD,unassigned ,20.939,51.741,1979/4/27,PP,1979,N/A,
Nature Trail,unassigned ,77.779,192.197,1979/4/28,PP,1979,N/A,
K1A,unassigned ,10.519,25.993,1979/4/28,PP,1979,N/A,
2D,2D,29,71,1980/3/20,WP,1980,002D,
C1A,CR3B-3U,93.78,231.73,1980/3/20,WU,1980,C02B,
C3A,C4A,24,59,1980/3/20,WU,1980,C04A,
C3B,C1B,75,185.33,1980/3/20,WU,1980,C01B,
C3C,unassigned ,102.956,254.409,1980/3/20,WU,1980,N/A,
R1B,UD,36.42,89.996,1980/3/20,WU,1980,020D,
HQD,unassigned ,24.372,60.224,1980/4/22,PP,1980,N/A,
HQC,unassigned ,17.48,43.194,1980/4/22,PP,1980,N/A,
HQB,unassigned ,11.379,28.117,1980/4/22,PP,1980,N/A,
HQA,unassigned ,6.762,16.708,1980/4/22,PP,1980,N/A,
N2A,unassigned ,8.32,20.558,1980/4/22,PP,1980,N/A,
AL,unassigned ,12.85,31.74,1980/4/26,PP,1980,N/A,
AL - SC,unassigned ,21.13,52.2,1980/4/26,PP,1980,N/A,
C1SB,Texas Hog Pasture,69.81,172.51,1980/4/26,PP,1980,N/A,
C3SC,unassigned ,127.02,313.873,1980/4/26,PP,1980,N/A,
C3SB,unassigned ,226.27,559.124,1980/4/26,PP,1980,N/A,
C3SA,unassigned ,102.076,252.235,1980/4/26,PP,1980,N/A,
C3A,unassigned ,48.73,120.41,1980/4/26,PP,1980,N/A,
C3B,unassigned ,10,24.71,1980/4/26,PP,1980,N/A,
K1A,unassigned ,104.859,259.112,1980/4/26,PP,1980,N/A,
N1A,unassigned ,37.321,92.222,1980/4/26,PP,1980,N/A,
K4A,unassigned ,53.161,131.363,1980/4/26,PP,1980,N/A,
K2A,unassigned ,66.1,163.336,1980/4/26,PP,1980,N/A,
K1B,unassigned ,181.177,447.697,1980/4/26,PP,1980,N/A,
Nature Trail,unassigned ,95.418,235.783,1980/4/26,PP,1980,N/A,
K20A,unassigned ,83.13,205.418,1980/4/26,PP,1980,N/A,
N4B,unassigned ,56.775,140.293,1980/4/26,PP,1980,N/A,
White Pasture,White Pasture,166.82,412.22,1980/4/26,PP,1980,WHIT,
N20B,unassigned ,84.364,208.467,1980/4/26,PP,1980,N/A,
1B,1B,4.16,10.28,1980/4/28,PP,1980,001B,south portion
1D,1D,41.55,102.67,1980/4/28,PP,1980,001D,
2B,2B,6.08,15.02,1980/4/28,PP,1980,002B,
20C,3B3UD,5.7,14.09,1980/4/28,PP,1980,033D,
R1B,4H,20,49,1980/4/28,PP,1980,004H,
