Recyear,Janprcp,Febprcp,Marprcp,Aprprcp,Mayprcp,Junprcp,Julprcp,Augprcp,Sepprcp,Octprcp,Novprcp,Decprcp,Annprcp
1947,25.10,4.60,87.10,130.80,84.60,184.40,16.30,99.30,6.40,43.90,19.30,67.80,769.60
1948,15.00,59.20,65.80,92.70,92.50,296.70,151.60,15.00,93.50,42.90,26.90,18.00,969.80
1949,113.80,24.10,49.80,44.20,149.40,174.00,56.90,66.50,58.40,31.50,8.60,37.60,814.80
1950,4.60,15.70,18.80,51.30,107.70,91.70,347.50,101.10,5.60,33.50,13.50,.80,791.70
1951,13.50,36.60,70.40,69.90,261.40,282.40,389.10,160.50,155.70,68.60,15.50,10.20,1533.00
1952,4.30,8.90,74.70,88.10,110.00,7.90,34.30,72.60,30.70,.30,68.60,28.40,528.80
1953,3.30,18.80,43.70,48.30,187.20,46.00,48.30,82.60,67.60,36.10,40.10,24.10,645.90
1954,.00,40.60,7.10,54.90,113.80,145.00,54.40,136.10,31.20,80.00,.00,12.20,675.40
1955,42.70,56.60,5.10,65.30,119.40,64.80,60.70,7.40,86.10,122.90,7.60,15.20,653.80
1956,17.50,7.10,4.80,46.50,45.00,102.60,120.90,104.10,1.50,53.60,33.00,13.00,549.70
1957,7.60,14.00,83.10,99.80,93.00,181.90,73.20,53.10,143.00,88.90,58.70,19.80,915.90
1958,33.50,35.60,62.20,36.10,66.30,201.70,306.30,97.80,191.00,69.60,18.50,8.90,1127.00
1959,29.00,23.60,53.60,35.80,198.60,59.20,79.00,68.10,109.20,101.90,5.30,11.70,775.00
1960,38.10,49.50,45.50,83.10,77.20,117.30,149.10,151.10,69.90,65.80,1.80,25.40,873.80
1961,.80,21.10,72.90,76.50,197.90,103.90,85.60,39.10,196.10,105.90,52.30,19.30,971.30
1962,20.60,34.30,52.30,28.20,167.60,114.60,56.40,143.50,106.20,75.20,33.80,7.40,840.00
1963,12.20,1.50,46.70,43.20,62.70,73.70,31.50,45.70,54.90,54.90,35.80,7.40,470.20
1964,9.70,11.20,51.10,107.20,74.20,167.10,93.50,94.20,68.10,7.90,89.70,32.30,805.90
1965,59.20,53.10,63.50,41.70,60.70,305.10,83.10,79.20,213.10,34.50,7.40,56.60,1057.00
1966,18.00,17.00,1.50,52.80,47.50,44.20,59.90,90.90,15.20,19.80,1.50,23.10,391.70
1967,9.70,5.30,40.40,127.50,74.90,250.40,78.70,36.10,202.40,78.20,19.60,31.50,954.80
1968,20.60,9.10,.00,79.50,89.40,80.30,145.00,158.50,50.30,134.10,36.80,44.20,847.90
1969,11.70,29.70,57.70,124.50,95.80,108.70,206.00,17.50,53.10,110.00,2.80,30.50,847.90
1970,5.10,.50,25.40,85.60,172.00,215.60,17.80,71.40,220.70,69.90,19.80,6.90,910.60
1971,19.10,55.40,20.80,52.60,141.20,111.00,205.70,.00,30.00,156.00,101.90,4.10,897.60
1972,10.40,7.60,41.40,57.70,76.70,76.20,82.80,102.60,147.10,56.10,94.70,47.00,800.40
1973,45.50,51.10,188.00,52.30,158.20,73.40,149.60,57.90,251.20,164.80,29.20,86.40,1307.00
1974,15.50,16.30,35.30,143.30,55.10,148.30,65.80,73.70,40.90,100.80,37.80,21.10,753.90
1975,35.80,43.20,39.40,56.60,90.40,230.40,27.40,105.90,122.40,2.50,119.60,19.80,893.60
1976,11.40,13.20,54.90,152.70,98.00,150.60,29.20,7.40,57.90,47.20,1.00,.00,623.60
1977,21.10,1.80,60.50,97.80,250.40,293.40,33.00,184.20,151.10,52.60,62.20,1.00,1209.00
1978,9.70,31.00,45.50,37.10,130.00,121.70,79.80,31.20,115.80,6.10,73.70,5.80,687.30
1979,80.30,6.90,109.20,47.20,69.60,78.50,141.00,74.20,32.00,151.10,37.10,.80,827.80
1980,28.70,25.90,126.20,35.10,45.70,71.40,30.50,74.70,64.00,87.10,2.80,77.50,669.50
1981,1.80,16.00,29.20,56.10,179.30,166.10,142.00,70.10,35.30,59.20,133.60,18.30,907.00
1982,28.70,29.70,56.90,30.70,201.20,101.30,104.40,100.60,84.30,34.00,38.90,69.10,879.90
1983,31.00,24.60,81.50,117.90,142.20,106.70,14.20,24.10,51.10,191.80,93.70,29.00,907.80
1984,7.60,30.70,127.30,139.40,131.30,288.80,34.30,23.40,140.70,98.60,18.50,70.90,1111.00
1985,33.50,41.40,43.70,146.60,83.10,112.80,51.10,160.80,154.40,105.90,35.60,14.00,982.70
1986,.00,43.40,43.70,84.80,170.40,171.20,119.10,146.80,156.50,141.20,21.80,23.90,1123.00
1987,14.00,30.70,121.20,55.90,193.50,78.50,34.00,133.90,36.30,69.30,69.30,27.40,864.10
1988,7.60,13.00,13.20,80.50,57.70,91.40,96.50,60.50,47.20,14.20,25.40,5.80,513.10
1989,22.90,19.60,42.90,11.40,56.10,85.10,39.90,135.40,232.20,155.50,.00,21.00,822.70
1990,26.70,37.80,105.90,22.60,100.30,124.50,179.30,180.30,20.10,26.90,51.60,25.90,900.90
1991,33.80,1.00,35.30,106.70,129.80,51.10,47.00,56.10,43.70,33.30,83.10,48.00,668.80
1992,44.70,18.00,90.70,15.20,41.90,94.20,335.80,51.30,141.70,57.40,96.00,40.90,1028.00
1993,24.90,28.40,87.90,47.80,279.20,173.40,446.00,167.90,101.30,21.10,29.70,26.90,1434.60
1994,6.60,9.80,5.90,85.70,66.10,116.30,83.60,65.30,8.80,35.30,40.90,26.90,551.30
1995,25.30,10.30,97.20,60.60,302.60,85.00,74.10,60.40,110.70,12.70,11.90,7.20,858.00
1996,4.30,3.30,38.10,45.70,202.20,95.80,128.80,75.90,82.00,81.30,52.60,.80,810.50
1997,.00,63.00,2.50,133.10,98.80,52.60,56.40,105.90,70.60,84.80,15.50,34.80,718.10
1998,14.00,51.10,86.60,49.00,40.60,195.60,162.80,36.10,134.40,100.10,147.10,13.70,1031.00
1999,37.10,50.00,52.10,241.80,131.30,190.50,45.70,46.50,97.00,2.30,54.90,20.10,969.30
2000,5.33,62.99,67.06,36.32,66.55,146.56,55.12,17.78,24.38,69.34,38.61,7.11,597.15
2001,18.03,69.60,31.50,86.36,141.22,178.31,83.06,174.50,144.02,37.34,18.03,5.84,987.81
2002,19.30,15.24,12.70,62.23,132.84,14.99,26.42,56.90,60.45,120.14,7.87,3.05,532.13
2003,7.37,27.18,11.43,89.66,75.69,129.79,35.31,141.48,63.25,35.81,23.88,17.02,657.86
2004,16.00,36.83,129.54,52.32,83.82,167.64,183.90,156.46,34.29,25.65,45.97,11.68,944.12
2005,21.59,75.18,21.34,17.02,36.83,299.97,57.40,142.49,110.74,83.06,17.27,19.81,902.70
2006,,,,,,,,,,,,,
